python main.py restaurant-json-Senna.txt elman restaurant-elman-Senna-3-50-50 3 50 50 true
[learning] epoch 0 >> 0.03% completed in 0.11 (sec) <<
[learning] epoch 0 >> 0.06% completed in 0.29 (sec) <<
[learning] epoch 0 >> 0.10% completed in 0.51 (sec) <<
[learning] epoch 0 >> 0.13% completed in 0.61 (sec) <<
[learning] epoch 0 >> 0.16% completed in 0.72 (sec) <<
[learning] epoch 0 >> 0.19% completed in 0.79 (sec) <<
[learning] epoch 0 >> 0.23% completed in 0.87 (sec) <<
[learning] epoch 0 >> 0.26% completed in 1.02 (sec) <<
[learning] epoch 0 >> 0.29% completed in 1.16 (sec) <<
[learning] epoch 0 >> 0.32% completed in 1.20 (sec) <<
[learning] epoch 0 >> 0.35% completed in 1.32 (sec) <<
[learning] epoch 0 >> 0.39% completed in 1.67 (sec) <<
[learning] epoch 0 >> 0.42% completed in 1.83 (sec) <<
[learning] epoch 0 >> 0.45% completed in 1.99 (sec) <<
[learning] epoch 0 >> 0.48% completed in 2.05 (sec) <<
[learning] epoch 0 >> 0.51% completed in 2.22 (sec) <<
[learning] epoch 0 >> 0.55% completed in 2.24 (sec) <<
[learning] epoch 0 >> 0.58% completed in 2.32 (sec) <<
[learning] epoch 0 >> 0.61% completed in 2.44 (sec) <<
[learning] epoch 0 >> 0.64% completed in 2.51 (sec) <<
[learning] epoch 0 >> 0.68% completed in 2.70 (sec) <<
[learning] epoch 0 >> 0.71% completed in 2.89 (sec) <<
[learning] epoch 0 >> 0.74% completed in 3.03 (sec) <<
[learning] epoch 0 >> 0.77% completed in 3.27 (sec) <<
[learning] epoch 0 >> 0.80% completed in 3.43 (sec) <<
[learning] epoch 0 >> 0.84% completed in 3.53 (sec) <<
[learning] epoch 0 >> 0.87% completed in 3.64 (sec) <<
[learning] epoch 0 >> 0.90% completed in 3.78 (sec) <<
[learning] epoch 0 >> 0.93% completed in 3.89 (sec) <<
[learning] epoch 0 >> 0.96% completed in 4.11 (sec) <<
[learning] epoch 0 >> 1.00% completed in 4.23 (sec) <<
[learning] epoch 0 >> 1.03% completed in 4.39 (sec) <<
[learning] epoch 0 >> 1.06% completed in 4.58 (sec) <<
[learning] epoch 0 >> 1.09% completed in 4.72 (sec) <<
[learning] epoch 0 >> 1.13% completed in 4.80 (sec) <<
[learning] epoch 0 >> 1.16% completed in 4.83 (sec) <<
[learning] epoch 0 >> 1.19% completed in 5.04 (sec) <<
[learning] epoch 0 >> 1.22% completed in 5.23 (sec) <<
[learning] epoch 0 >> 1.25% completed in 5.42 (sec) <<
[learning] epoch 0 >> 1.29% completed in 5.55 (sec) <<
[learning] epoch 0 >> 1.32% completed in 5.70 (sec) <<
[learning] epoch 0 >> 1.35% completed in 5.91 (sec) <<
[learning] epoch 0 >> 1.38% completed in 6.12 (sec) <<
[learning] epoch 0 >> 1.41% completed in 6.39 (sec) <<
[learning] epoch 0 >> 1.45% completed in 6.51 (sec) <<
[learning] epoch 0 >> 1.48% completed in 6.73 (sec) <<
[learning] epoch 0 >> 1.51% completed in 6.81 (sec) <<
[learning] epoch 0 >> 1.54% completed in 6.91 (sec) <<
[learning] epoch 0 >> 1.58% completed in 7.08 (sec) <<
[learning] epoch 0 >> 1.61% completed in 7.26 (sec) <<
[learning] epoch 0 >> 1.64% completed in 7.32 (sec) <<
[learning] epoch 0 >> 1.67% completed in 7.35 (sec) <<
[learning] epoch 0 >> 1.70% completed in 7.57 (sec) <<
[learning] epoch 0 >> 1.74% completed in 7.81 (sec) <<
[learning] epoch 0 >> 1.77% completed in 7.99 (sec) <<
[learning] epoch 0 >> 1.80% completed in 8.26 (sec) <<
[learning] epoch 0 >> 1.83% completed in 8.31 (sec) <<
[learning] epoch 0 >> 1.86% completed in 8.45 (sec) <<
[learning] epoch 0 >> 1.90% completed in 8.61 (sec) <<
[learning] epoch 0 >> 1.93% completed in 8.85 (sec) <<
[learning] epoch 0 >> 1.96% completed in 8.87 (sec) <<
[learning] epoch 0 >> 1.99% completed in 8.92 (sec) <<
[learning] epoch 0 >> 2.03% completed in 9.03 (sec) <<
[learning] epoch 0 >> 2.06% completed in 9.10 (sec) <<
[learning] epoch 0 >> 2.09% completed in 9.14 (sec) <<
[learning] epoch 0 >> 2.12% completed in 9.21 (sec) <<
[learning] epoch 0 >> 2.15% completed in 9.48 (sec) <<
[learning] epoch 0 >> 2.19% completed in 9.51 (sec) <<
[learning] epoch 0 >> 2.22% completed in 9.67 (sec) <<
[learning] epoch 0 >> 2.25% completed in 9.77 (sec) <<
[learning] epoch 0 >> 2.28% completed in 9.80 (sec) <<
[learning] epoch 0 >> 2.31% completed in 10.12 (sec) <<
[learning] epoch 0 >> 2.35% completed in 10.13 (sec) <<
[learning] epoch 0 >> 2.38% completed in 10.48 (sec) <<
[learning] epoch 0 >> 2.41% completed in 10.60 (sec) <<
[learning] epoch 0 >> 2.44% completed in 10.74 (sec) <<
[learning] epoch 0 >> 2.48% completed in 11.12 (sec) <<
[learning] epoch 0 >> 2.51% completed in 11.32 (sec) <<
